day,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1,7586,36.0,25.0,977.0,23.0,28.0,8.0,2.0,1055,5.0,2.0,3.0,2.0,,4.0,,16.0,,29.0,17.0,7.0,31.0,4.0,12.0,35.0,1.0,13.0,,6.0,2.0,2.0,4.0,,2.0,1.0,2.0,5.0,1.0,,1.0,3.0,6.0,1.0,,5.0,,3.0,44.0,47.0,41.0,17.0,10.0,,13.0,2.0,3.0,5.0,5.0,53.0,,3
2,6538,25.0,29.0,926.0,24.0,16.0,10.0,4.0,825,2.0,2.0,,2.0,,2.0,2.0,14.0,,31.0,14.0,6.0,30.0,4.0,8.0,25.0,4.0,11.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,,3.0,2.0,4.0,1.0,,,5.0,1.0,3.0,40.0,49.0,29.0,10.0,14.0,,8.0,2.0,1.0,5.0,7.0,63.0,1.0,5
3,5434,26.0,20.0,798.0,17.0,19.0,9.0,1.0,680,,2.0,1.0,5.0,,2.0,1.0,10.0,,25.0,11.0,4.0,25.0,4.0,9.0,22.0,3.0,12.0,1.0,4.0,,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,,2.0,,1.0,,7.0,,2.0,31.0,39.0,31.0,10.0,14.0,1.0,9.0,,2.0,3.0,6.0,60.0,2.0,4
4,6794,33.0,25.0,897.0,25.0,23.0,10.0,,710,1.0,5.0,1.0,7.0,,5.0,1.0,10.0,,28.0,14.0,8.0,20.0,5.0,12.0,24.0,3.0,8.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,7.0,2.0,1.0,1.0,3.0,4.0,2.0,,6.0,1.0,4.0,49.0,51.0,28.0,11.0,5.0,1.0,4.0,1.0,,8.0,11.0,53.0,,8
5,6057,28.0,23.0,861.0,21.0,25.0,5.0,1.0,805,2.0,3.0,,1.0,1.0,1.0,2.0,11.0,,30.0,14.0,3.0,18.0,5.0,8.0,26.0,3.0,14.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,5.0,,,,3.0,4.0,,,8.0,,1.0,34.0,45.0,26.0,9.0,10.0,4.0,4.0,1.0,1.0,3.0,9.0,43.0,1.0,8
6,5855,28.0,20.0,868.0,23.0,17.0,6.0,2.0,805,2.0,3.0,1.0,5.0,,,2.0,14.0,,22.0,18.0,4.0,17.0,5.0,5.0,26.0,,13.0,1.0,5.0,4.0,1.0,4.0,,,4.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,,8.0,,5.0,37.0,43.0,35.0,15.0,14.0,1.0,8.0,,3.0,4.0,7.0,38.0,,7
7,4271,26.0,14.0,664.0,12.0,22.0,6.0,,686,4.0,4.0,1.0,3.0,,2.0,1.0,7.0,,18.0,9.0,4.0,15.0,1.0,6.0,25.0,1.0,13.0,3.0,4.0,4.0,1.0,2.0,3.0,5.0,1.0,1.0,7.0,2.0,4.0,,3.0,2.0,1.0,,4.0,,3.0,27.0,33.0,19.0,14.0,9.0,,1.0,,1.0,,6.0,30.0,,3
8,3780,26.0,13.0,596.0,19.0,17.0,3.0,,675,2.0,,1.0,,,2.0,2.0,7.0,,25.0,11.0,3.0,13.0,3.0,8.0,19.0,2.0,7.0,,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,,2.0,4.0,3.0,,,5.0,,2.0,26.0,36.0,24.0,5.0,3.0,,8.0,2.0,,3.0,6.0,50.0,1.0,2
9,4060,24.0,20.0,586.0,22.0,17.0,5.0,,605,2.0,3.0,,1.0,,1.0,3.0,8.0,,25.0,7.0,3.0,23.0,4.0,8.0,19.0,1.0,11.0,2.0,1.0,1.0,,3.0,,1.0,3.0,,4.0,2.0,1.0,1.0,4.0,2.0,1.0,,6.0,,5.0,28.0,35.0,22.0,10.0,9.0,,6.0,,1.0,,4.0,31.0,,2
