week,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC ,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX ,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
1,53.0,86.0,3.0,57.0,58.0,25.0,5.0,2284.0,3.0,14.0,8.0,7.0,5.0,4.0,19.0,6.0,0.0,0.0,4.0,9.0,0.0,2.0,0.0,66.0,29.0,19.0,63.0,17.0,21.0,38.0,12.0,24.0,2.0,7.0,7.0,1.0,2.0,5.0,6.0,6.0,18.0,8.0,4.0,1.0,3.0,4.0,3.0,4.0,1.0,6.0,3.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,112.0,125.0,89.0,52.0,57.0,8.0,7.0,3.0,24.0,0.0,12.0,33.0,153.0,123.0,0.0,24.0,35.0,10.0,14.0,28.0,139.0
2,104.0,130.0,6.0,101.0,105.0,29.0,11.0,3174.0,13.0,29.0,21.0,3.0,5.0,10.0,35.0,4.0,1.0,0.0,8.0,10.0,2.0,6.0,2.0,97.0,58.0,18.0,86.0,25.0,37.0,82.0,16.0,40.0,1.0,12.0,9.0,1.0,12.0,3.0,5.0,5.0,16.0,19.0,7.0,2.0,6.0,19.0,9.0,8.0,1.0,29.0,0.0,7.0,2.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,194.0,223.0,159.0,68.0,69.0,21.0,6.0,11.0,50.0,4.0,10.0,52.0,247.0,200.0,0.0,41.0,58.0,11.0,27.0,36.0,188.0
3,70.0,94.0,4.0,68.0,68.0,31.0,5.0,2491.0,9.0,12.0,14.0,3.0,3.0,6.0,22.0,8.0,0.0,1.0,2.0,9.0,4.0,5.0,1.0,71.0,26.0,10.0,41.0,19.0,20.0,36.0,13.0,24.0,2.0,6.0,3.0,2.0,4.0,1.0,1.0,2.0,11.0,11.0,3.0,1.0,6.0,8.0,6.0,6.0,0.0,11.0,1.0,7.0,5.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,129.0,153.0,108.0,53.0,59.0,20.0,9.0,12.0,25.0,3.0,5.0,49.0,213.0,172.0,0.0,29.0,52.0,10.0,24.0,22.0,119.0
4,87.0,127.0,1.0,91.0,84.0,37.0,10.0,3140.0,7.0,16.0,21.0,7.0,11.0,2.0,25.0,7.0,0.0,0.0,5.0,13.0,1.0,8.0,1.0,96.0,40.0,14.0,58.0,13.0,29.0,72.0,16.0,26.0,4.0,11.0,15.0,4.0,10.0,5.0,0.0,2.0,19.0,12.0,6.0,4.0,4.0,10.0,8.0,9.0,0.0,11.0,1.0,6.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,162.0,186.0,129.0,67.0,71.0,16.0,7.0,11.0,33.0,3.0,10.0,52.0,221.0,177.0,1.0,35.0,54.0,7.0,26.0,26.0,172.0
5,86.0,110.0,3.0,79.0,81.0,31.0,10.0,3107.0,9.0,18.0,9.0,5.0,5.0,4.0,33.0,4.0,0.0,0.0,4.0,6.0,1.0,6.0,2.0,85.0,45.0,30.0,65.0,15.0,41.0,73.0,23.0,35.0,1.0,8.0,6.0,7.0,4.0,4.0,8.0,5.0,11.0,17.0,5.0,0.0,2.0,13.0,11.0,6.0,1.0,20.0,5.0,5.0,4.0,25.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,157.0,182.0,133.0,63.0,68.0,13.0,5.0,4.0,29.0,1.0,0.0,53.0,214.0,165.0,1.0,41.0,49.0,10.0,1141013.0,21.0,158.0
6,104.0,94.0,3.0,85.0,87.0,33.0,5.0,2814.0,10.0,20.0,17.0,1.0,10.0,5.0,45.0,2.0,0.0,0.0,3.0,9.0,0.0,2.0,1.0,87.0,45.0,20.0,51.0,18.0,37.0,70.0,20.0,29.0,0.0,8.0,12.0,5.0,10.0,5.0,7.0,8.0,20.0,9.0,6.0,1.0,4.0,11.0,13.0,3.0,1.0,22.0,3.0,8.0,2.0,19.0,0.0,2.0,2.0,1.0,1.0,1.0,5.0,156.0,181.0,120.0,67.0,75.0,16.0,11.0,7.0,25.0,2.0,6.0,43.0,219.0,167.0,1.0,42.0,46.0,8.0,25.0,26.0,141.0
7,105.0,118.0,10.0,75.0,108.0,37.0,14.0,3463.0,9.0,24.0,25.0,4.0,6.0,5.0,46.0,7.0,0.0,0.0,5.0,3.0,0.0,6.0,0.0,96.0,48.0,23.0,81.0,12.0,36.0,70.0,24.0,33.0,3.0,8.0,10.0,5.0,6.0,3.0,5.0,11.0,12.0,10.0,5.0,2.0,2.0,12.0,9.0,17.0,0.0,22.0,5.0,10.0,5.0,12.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,181.0,212.0,141.0,57.0,68.0,25.0,10.0,9.0,32.0,0.0,7.0,67.0,297.0,215.0,0.0,64.0,50.0,16.0,35.0,31.0,153.0
8,98.0,103.0,6.0,86.0,86.0,29.0,6.0,3126.0,9.0,16.0,15.0,2.0,3.0,8.0,32.0,5.0,1.0,0.0,14.0,15.0,2.0,6.0,1.0,80.0,44.0,20.0,68.0,23.0,28.0,64.0,21.0,28.0,5.0,8.0,6.0,5.0,8.0,3.0,8.0,4.0,9.0,10.0,5.0,3.0,1.0,6.0,11.0,8.0,0.0,12.0,1.0,6.0,3.0,14.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,170.0,190.0,138.0,68.0,71.0,27.0,12.0,12.0,37.0,1.0,10.0,61.0,291.0,228.0,2.0,51.0,60.0,14.0,38.0,20.0,169.0
9,126.0,100.0,8.0,86.0,102.0,33.0,16.0,3352.0,6.0,27.0,24.0,6.0,5.0,7.0,31.0,7.0,0.0,0.0,6.0,12.0,0.0,3.0,0.0,100.0,54.0,29.0,51.0,11.0,26.0,76.0,14.0,47.0,2.0,17.0,7.0,3.0,10.0,2.0,7.0,10.0,20.0,9.0,4.0,4.0,3.0,5.0,15.0,7.0,2.0,17.0,5.0,9.0,5.0,29.0,3.0,6.0,1.0,4.0,1.0,3.0,3.0,169.0,207.0,147.0,71.0,71.0,35.0,9.0,13.0,28.0,1.0,8.0,58.0,287.0,221.0,1.0,51.0,59.0,17.0,140033.0,29.0,180.0
10,84.0,91.0,7.0,71.0,73.0,35.0,2.0,2540.0,5.0,12.0,15.0,5.0,6.0,3.0,25.0,11.0,0.0,0.0,5.0,13.0,0.0,2.0,1.0,73.0,37.0,15.0,46.0,22.0,26.0,61.0,11.0,30.0,2.0,3.0,8.0,4.0,6.0,5.0,5.0,3.0,6.0,10.0,6.0,2.0,5.0,9.0,6.0,7.0,0.0,9.0,3.0,8.0,3.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,135.0,159.0,106.0,47.0,44.0,16.0,8.0,8.0,16.0,2.0,4.0,40.0,217.0,153.0,1.0,46.0,36.0,12.0,19.0,33.0,133.0
