year,weekday,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
2007,0,79.0,106.0,0.0,65.0,81.0,32.0,6.0,0.0,8.0,15.0,10.0,7.0,8.0,3.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,38.0,20.0,78.0,10.0,20.0,90.0,7.0,20.0,1.0,5.0,6.0,2.0,12.0,4.0,5.0,8.0,8.0,19.0,7.0,3.0,3.0,12.0,3.0,7.0,1.0,26.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,168.0,110.0,40.0,24.0,0.0,4.0,2.0,25.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1,77.0,80.0,0.0,56.0,69.0,26.0,2.0,0.0,5.0,9.0,11.0,10.0,6.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,35.0,27.0,62.0,14.0,28.0,68.0,10.0,22.0,1.0,9.0,5.0,4.0,10.0,14.0,4.0,5.0,3.0,15.0,8.0,5.0,2.0,8.0,6.0,7.0,0.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,143.0,72.0,30.0,33.0,0.0,1.0,4.0,28.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,2,55.0,86.0,0.0,57.0,54.0,26.0,1.0,0.0,5.0,6.0,10.0,3.0,4.0,5.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,24.0,17.0,57.0,15.0,27.0,43.0,10.0,21.0,2.0,6.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,14.0,3.0,2.0,7.0,7.0,6.0,3.0,0.0,11.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,124.0,60.0,18.0,12.0,0.0,4.0,4.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,3,73.0,78.0,0.0,53.0,63.0,30.0,1.0,0.0,10.0,10.0,14.0,9.0,3.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,32.0,21.0,45.0,5.0,27.0,84.0,8.0,26.0,2.0,11.0,11.0,6.0,19.0,7.0,10.0,5.0,14.0,16.0,2.0,3.0,3.0,8.0,17.0,8.0,0.0,20.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,134.0,95.0,31.0,11.0,0.0,6.0,6.0,17.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,4,44.0,63.0,0.0,43.0,57.0,3.0,2.0,0.0,5.0,7.0,5.0,2.0,0.0,4.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,18.0,9.0,45.0,8.0,21.0,46.0,1.0,21.0,0.0,9.0,4.0,1.0,6.0,7.0,4.0,1.0,3.0,5.0,2.0,1.0,4.0,5.0,3.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,92.0,54.0,12.0,13.0,0.0,3.0,5.0,7.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,5,4.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,6,9.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,3.0,4.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0,105.0,119.0,0.0,80.0,93.0,41.0,8.0,0.0,15.0,24.0,8.0,3.0,14.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,51.0,23.0,86.0,22.0,43.0,112.0,16.0,33.0,3.0,11.0,16.0,3.0,17.0,10.0,12.0,5.0,3.0,18.0,3.0,3.0,6.0,23.0,15.0,7.0,0.0,27.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,200.0,143.0,49.0,51.0,0.0,10.0,3.0,23.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,1,71.0,70.0,0.0,40.0,58.0,35.0,6.0,0.0,9.0,14.0,17.0,3.0,8.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,31.0,17.0,51.0,6.0,13.0,77.0,2.0,27.0,2.0,8.0,5.0,4.0,13.0,4.0,3.0,1.0,3.0,5.0,6.0,4.0,1.0,9.0,5.0,10.0,1.0,16.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,117.0,52.0,29.0,28.0,0.0,5.0,6.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2,75.0,95.0,0.0,56.0,76.0,29.0,6.0,0.0,3.0,13.0,13.0,5.0,6.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,38.0,20.0,75.0,9.0,28.0,93.0,6.0,20.0,2.0,10.0,7.0,3.0,13.0,2.0,5.0,4.0,4.0,16.0,5.0,5.0,2.0,10.0,14.0,5.0,0.0,24.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,153.0,96.0,35.0,17.0,0.0,8.0,4.0,21.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
